од щеей доецш мгтък?,дан черд?,дан черд?_1,дан черд?_2,дан черд?_3,дан черд?_4,дан черд?_5,дан черд?_6,дан черд?_7,дан черд?_8,од щеей доецш мгтък?_9,дан черд?_10,дан черд?_11,дан черд?_12,дан черд?_13,дан черд?_14,од щеей доецш мгтък?_15,дан черд?_16,дан черд?_17,дан черд?_18,дан черд?_19,дан черд?_20,дан черд?_21,дан черд?_22,дан черд?_23,дан черд?_24,дан черд?_25,дан черд?_26,дан черд?_27,дан черд?_28,дан черд?_29,дан черд?_30,дан черд?_31
"240 щ""з",ма,ма,ма,ма,лп,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма
"200 щ""з",ма,ма,лп,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,,,лп,ма,,,
"200 щ""з",ма,ма,ма,лп,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"200 щ""з",,,,,,ма,ма,ма,лп,ма,ма,ма,ма,,,
"240 щ""з",ма,ма,ма,лп,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,,ма,,,,,лп,,,
"240 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,ма,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"200 щ""з",ма,ма,ма,ма,лп,,,,,"70 щ""з",ма,ма,ма,ма,лп,"250 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"240 щ""з",ма,ма,ма,лп,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,,ма,ма,,ма,лп,ма,,,,
"280 щ""з",ма,ма,ма,ма,лп,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,лп,ма,ма,ма,ма,,,
"200 щ""з",ма,ма,лп,,,,,,,"40 щ""з",,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,,,лп,ма,,,
"240 щ""з",ма,ма,ма,ма,ма,ма,ма,лп,,"40 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,,ма,лп,ма,ма,,,
"280 щ""з",лп,,,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"200 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"200 щ""з",ма,ма,ма,ма,ма,лп,,,,"100 щ""з",ма,ма,ма,лп,,"250 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",ма,лп,,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"200 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,,лп,
"280 щ""з",лп,,,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"200 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",лп,,,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,ма,лп,ма,ма,,,
"280 щ""з",ма,лп,,,,,,,,"40 щ""з",ма,ма,,ма,ма,"300 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"200 щ""з",ма,ма,ма,ма,лп,,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,,,лп,ма,,,
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"200 щ""з",ма,ма,ма,ма,ма,лп,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"200 щ""з",ма,ма,ма,ма,ма,лп,,,,"70 щ""з",ма,ма,ма,ма,лп,"300 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"240 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,ма,"140 щ""з",ма,ма,ма,ма,лп,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"240 щ""з",ма,ма,ма,лп,,,,,,"70 щ""з",ма,ма,ма,,лп,"200 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"200 щ""з",ма,ма,ма,ма,ма,ма,ма,лп,,"40 щ""з",ма,ма,ма,ма,ма,"150 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"240 щ""з",ма,ма,ма,ма,ма,лп,,,,"40 щ""з",ма,ма,ма,ма,ма,"250 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"280 щ""з",ма,ма,ма,ма,лп,,,,,"40 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,лп,"140 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,лп
"240 щ""з",ма,лп,,,,,,,,"70 щ""з",ма,ма,лп,,,"250 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"280 щ""з",лп,,,,,,,,,"40 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,лп,,,,,,,,,,
"280 щ""з",ма,ма,ма,ма,ма,ма,ма,ма,ма,"70 щ""з",ма,ма,ма,ма,ма,"300 щ""з",,,,,,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма,ма
"280 щ""з",ма,ма,лп,,,,,,,"70 щ""з",ма,ма,ма,ма,ма,"200 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
"280 щ""з",лп,,,,,,,,,"140 щ""з",ма,,лп,,,"250 щ""з",,,,,,ма,ма,ма,,лп,,ма,ма,,,
"240 щ""з",ма,ма,ма,лп,,,,,,"100 щ""з",ма,ма,ма,лп,,"300 щ""з",,,,,,ма,ма,ма,,,,,лп,,,
