מה שווי המוצר לדעתך?,מה הצעתך?,מה שווי המוצר לדעתך?_1,מה הצעתך?_2,מה שווי המוצר לדעתך?_3,מה הצעתך?_4
"80 ש""ח","80 ש""ח","1500 ש""ח","1200 ש""ח","80 ש""ח","50 ש""ח"
"70 ש""ח","80 ש""ח","1500 ש""ח","1200 ש""ח","80 ש""ח","60 ש""ח"
"90 ש""ח","90 ש""ח","1500 ש""ח","1000 ש""ח","80 ש""ח","40 ש""ח"
"80 ש""ח","80 ש""ח","2000 ש""ח","1600 ש""ח","120 ש""ח","100 ש""ח"
"80 ש""ח","50 ש""ח","2500 ש""ח","2000 ש""ח","80 ש""ח","80 ש""ח"
"70 ש""ח","50 ש""ח","1500 ש""ח","1400 ש""ח","60 ש""ח","50 ש""ח"
"60 ש""ח","10 ש""ח","1000 ש""ח","800 ש""ח","60 ש""ח","40 ש""ח"
"80 ש""ח","70 ש""ח","2500 ש""ח","2000 ש""ח","80 ש""ח","60 ש""ח"
"90 ש""ח","90 ש""ח","2500 ש""ח","2400 ש""ח","80 ש""ח","50 ש""ח"
"60 ש""ח","20 ש""ח","2000 ש""ח","1800 ש""ח","60 ש""ח","50 ש""ח"
"90 ש""ח","80 ש""ח","2500 ש""ח","2200 ש""ח","100 ש""ח","90 ש""ח"
"70 ש""ח","70 ש""ח","2500 ש""ח","2200 ש""ח","80 ש""ח","70 ש""ח"
"70 ש""ח","110 ש""ח","2500 ש""ח","2600 ש""ח","120 ש""ח","130 ש""ח"
"90 ש""ח","100 ש""ח","1500 ש""ח","1200 ש""ח","80 ש""ח","60 ש""ח"
"80 ש""ח","80 ש""ח","2500 ש""ח","2500 ש""ח","100 ש""ח","100 ש""ח"
"60 ש""ח","50 ש""ח","2500 ש""ח","2600 ש""ח","120 ש""ח","100 ש""ח"
"80 ש""ח","90 ש""ח","2000 ש""ח","2200 ש""ח","120 ש""ח","130 ש""ח"
"80 ש""ח","80 ש""ח","2000 ש""ח","2000 ש""ח","80 ש""ח","80 ש""ח"
"90 ש""ח","80 ש""ח","2000 ש""ח","1800 ש""ח","60 ש""ח","50 ש""ח"
